LGACODE,LGA,Year,Deaths,Population
LGA11750,Cobar (A),2011,30.947449,4881.7105
LGA11750,Cobar (A),2012,22.96101,4901.6766
LGA11750,Cobar (A),2013,34.940668,4920.6444
LGA11750,Cobar (A),2014,31.945754,4958.5799
LGA11800,Coffs Harbour (C),2010,574.18143,70339.795
LGA11800,Coffs Harbour (C),2011,641.46674,70971.224
LGA11800,Coffs Harbour (C),2012,621.07478,71081.365
LGA11800,Coffs Harbour (C),2013,621.82408,71769.506
LGA11800,Coffs Harbour (C),2014,641.61079,72338.149
LGA11860,Conargo (A),2010,11.996974,1604.6519
LGA11860,Conargo (A),2011,13.355122,1584.7324
LGA11860,Conargo (A),2012,14.034196,1579.0734
LGA11860,Conargo (A),2013,13.128764,1562.7756
LGA11860,Conargo (A),2014,9.507036,1559.3803
LGA12000,Coolamon (A),2010,28.660364,4228.175
LGA12000,Coolamon (A),2011,26.917943,4234.0365
LGA12000,Coolamon (A),2012,25.20163,4244.078
LGA12000,Coolamon (A),2013,29.963883,4182.6244
LGA12000,Coolamon (A),2014,29.299069,4191.1884
LGA12050,Cooma-Monaro (A),2010,84.896749,10092.261
LGA12050,Cooma-Monaro (A),2011,90.638412,10128.688
LGA12050,Cooma-Monaro (A),2012,86.66755,10227.544
LGA12050,Cooma-Monaro (A),2013,82.329164,10209.424
LGA12050,Cooma-Monaro (A),2014,76.840828,10272.26
LGA12150,Coonamble (A),2010,34.188522,4241.373
LGA12150,Coonamble (A),2011,36.986237,4227.0027
LGA12150,Coonamble (A),2012,39.829409,4237.205
LGA12150,Coonamble (A),2013,37.957602,4271.8397
LGA12150,Coonamble (A),2014,39.907644,4282.2743
LGA12200,Cootamundra (A),2010,74.832727,7505.3391
LGA12200,Cootamundra (A),2011,101.41689,7546.6649
LGA12200,Cootamundra (A),2012,74.826853,7621.4733
LGA12200,Cootamundra (A),2013,88.610239,7619.4871
LGA12200,Cootamundra (A),2014,87.627629,7741.5438
LGA12300,Corowa Shire (A),2010,112.35775,11310.704
LGA12300,Corowa Shire (A),2011,126.44744,11318.204
LGA12300,Corowa Shire (A),2012,115.73094,11365.502
LGA12300,Corowa Shire (A),2013,126.58919,11368.883
LGA12300,Corowa Shire (A),2014,127.01445,11399.763
LGA12350,Cowra (A),2010,139.87144,12559.384
LGA12350,Cowra (A),2011,157.24461,12525.197
LGA12350,Cowra (A),2012,145.08786,12656.203
LGA12350,Cowra (A),2013,136.07966,12641.337
LGA12350,Cowra (A),2014,154.85574,12641.402
LGA12500,Deniliquin (A),2010,93,7366
LGA12500,Deniliquin (A),2011,78,7303
LGA12500,Deniliquin (A),2012,88,7336
LGA12500,Deniliquin (A),2013,89,7373
LGA12500,Deniliquin (A),2014,76,7432
LGA12600,Dubbo (C),2010,289.92303,40057.014
