"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"The Pocket",0,9,15,16,16,21,11,5,16,0,4,5,0,0,0,118,
"The Ponds",3,3,3,13,28,26,32,46,104,152,172,122,47,45,18,814,
"The Ridgeway",0,3,0,3,0,4,0,4,4,6,5,8,5,3,8,53,
"The Rock",6,21,26,50,42,41,38,32,32,19,20,7,3,3,3,343,
"The Rocks (Sydney - NSW)",10,23,19,9,8,7,9,13,22,3,69,9,13,8,15,237,
"The Slopes",0,0,3,5,6,4,3,0,22,10,8,6,4,3,3,77,
"The Whiteman",0,3,7,9,24,18,12,5,17,5,3,3,0,0,0,106,
"Theresa Park",3,3,5,9,10,13,6,9,22,5,13,10,11,10,8,137,
"Thirlmere",10,23,64,88,106,85,86,80,170,112,96,52,19,17,3,1011,
"Thirroul",26,47,115,152,124,119,130,123,229,169,253,148,69,64,35,1803,
"Thora",3,7,8,15,9,14,8,6,13,8,3,0,0,0,0,94,
"Thornleigh",31,35,95,156,147,149,160,154,286,243,367,254,126,116,84,2403,
"Thornton (NSW)",12,25,87,163,179,155,209,212,388,314,270,145,56,56,22,2293,
"Thrumster",0,0,0,4,6,17,4,5,7,5,7,0,0,0,0,55,
"Thurgoona",10,18,66,97,158,146,180,198,355,258,153,78,21,15,13,1766,
"Tibooburra",3,8,12,18,19,18,14,18,10,4,6,0,0,0,0,130,
"Tighes Hill",4,21,68,75,71,62,49,54,68,53,36,19,3,11,3,597,
"Timbumburi",3,3,3,16,11,14,21,12,9,5,3,10,0,0,0,110,
"Tingha",3,25,53,59,56,47,29,26,27,19,9,4,0,0,0,357,
"Tingira Heights",6,5,31,58,45,51,54,51,111,72,42,40,12,8,9,595,
"Tinonee",6,11,38,54,47,50,40,36,23,17,11,8,0,3,3,347,
"Tintenbar",3,3,13,19,17,24,17,13,26,23,18,15,3,6,7,207,
"Tintinhull",0,0,6,10,22,13,16,9,22,10,7,3,0,0,0,118,
"Tocumwal",24,37,122,175,114,98,62,66,78,38,22,11,3,0,3,853,
"Tolland",30,76,127,175,169,98,108,108,130,91,54,30,10,11,4,1221,
"Tomago",4,4,5,20,29,17,19,7,14,3,6,0,0,0,0,128,
"Tomakin",3,22,50,60,49,52,35,24,22,12,7,9,0,3,0,348,
"Tomerong",3,11,14,35,34,27,22,28,43,28,23,13,3,4,0,288,
"Tomingley",3,7,6,16,15,17,7,11,11,7,10,0,0,0,0,110,
"Tooleybuc",5,0,9,15,9,9,7,3,9,3,0,0,0,0,0,69,
"Tooma",5,3,10,14,11,15,10,14,13,11,3,8,0,0,5,122,
"Toongabbie (NSW)",51,120,231,307,311,335,379,346,586,460,334,238,112,86,53,3949,
"Tooraweenah",9,4,5,16,18,16,14,13,8,7,3,3,0,0,0,116,
"Toormina",43,115,282,406,321,267,207,164,189,115,61,19,6,3,4,2202,
"Toowoon Bay",4,9,38,44,33,29,15,18,18,20,6,7,4,0,0,245,
"Toronto",40,114,191,327,247,201,166,146,171,100,99,49,20,14,10,1895,
"Torryburn (Dungog - NSW)",3,3,5,3,4,4,0,4,11,6,5,8,3,0,0,59,
"Tottenham (NSW)",13,22,36,35,34,18,20,13,26,12,8,4,0,3,0,244,
"Toukley",21,83,254,300,199,150,131,105,148,72,57,36,3,0,8,1567,
"Towamba",0,11,27,23,25,11,6,5,7,5,0,0,0,0,0,120,
"Townsend",0,8,33,58,52,43,25,27,23,8,3,6,3,0,0,289,
"Towradgi",28,53,151,139,93,80,74,67,113,97,85,49,15,19,13,1076,
"Towrang",0,8,14,13,9,13,13,10,10,9,6,3,0,0,0,108,
"Trangie",8,23,53,63,54,44,44,36,39,22,18,10,0,0,3,417,
"Tregeagle",4,0,9,5,18,16,15,13,22,17,10,14,3,0,9,155,
"Tregear",28,67,106,169,161,99,112,67,113,59,18,9,3,4,0,1015,
"Trundle",11,14,39,40,27,25,16,16,24,10,10,0,0,4,3,239,
"Trunkey Creek",3,3,7,19,5,8,10,3,8,10,6,3,0,0,0,85,
"Tucabia",0,7,13,14,13,5,7,7,12,4,0,0,0,0,0,82,
"Tucki Tucki",0,3,8,6,6,12,12,13,13,10,0,0,3,0,0,86,
"Tuckombil",0,0,5,16,12,3,3,12,14,9,3,0,0,0,0,77,
"Tuena",7,3,9,8,8,10,9,8,3,4,4,0,3,0,0,76,
"Tuggerah",3,10,31,38,41,33,39,41,39,24,20,9,8,0,0,336,
"Tuggerawong",8,20,46,51,47,35,37,36,49,34,16,13,4,6,4,406,
"Tullamore",3,5,17,29,15,25,3,10,11,5,0,0,0,3,3,129,
"Tullera",0,4,8,12,15,19,12,5,13,3,10,6,0,0,3,110,
"Tullibigeal",3,3,7,20,20,15,9,8,11,14,4,3,0,0,0,117,
"Tullimbar",0,0,0,7,3,4,4,3,5,8,8,4,0,0,0,46,
"Tumbarumba",15,25,67,77,86,66,62,59,71,33,28,10,0,3,3,605,
"Tumbi Umbi",26,43,117,189,161,147,121,121,173,152,118,75,34,19,24,1520,
"Tumblong",0,9,7,17,12,14,9,10,13,12,10,4,0,0,3,120,
"Tumbulgum",3,3,12,12,13,14,5,14,9,16,9,5,0,0,0,115,
"Tumut",58,89,242,291,252,201,198,191,259,167,106,50,19,13,10,2146,
"Tuncurry",59,125,375,622,427,315,167,129,129,74,56,24,12,9,5,2528,
"Tura Beach",18,22,75,178,192,162,125,90,107,69,39,33,3,0,6,1119,
"Turlinjah",0,4,10,14,13,8,7,10,12,4,0,0,0,0,0,82,
"Tuross Head",17,36,101,200,120,128,77,64,88,32,13,7,8,0,0,891,
"Turramurra",35,52,110,181,190,221,194,192,314,222,583,320,191,195,280,3280,
"Turrella",5,16,25,41,37,35,31,30,50,35,34,28,6,12,9,394,
"Turvey Park",14,29,94,121,101,77,119,104,190,131,80,66,23,21,8,1178,
"Tweed Heads",80,148,381,585,453,381,264,219,264,141,118,42,18,16,18,3128,
"Tweed Heads South",82,194,446,749,516,404,268,201,242,121,72,34,12,4,12,3357,
"Tweed Heads West",45,101,307,511,354,283,217,154,164,108,59,19,7,7,9,2345,
"Tyagarah",0,0,0,9,3,6,0,3,7,3,0,0,0,0,0,31,
"Tyalgum",6,4,22,32,29,14,25,12,15,3,4,0,0,0,0,166,
"Tyndale",3,6,14,21,9,15,12,9,9,7,3,0,0,0,0,108,
"Uki",5,10,24,42,35,42,16,13,28,10,11,3,3,0,0,242,
"Ulamambri",5,8,11,19,19,12,13,9,17,9,7,3,0,0,3,135,
"Ulladulla",46,111,320,474,345,281,197,155,173,97,55,9,7,7,5,2282,
"Ulmarra",3,15,32,69,31,42,22,13,17,16,4,0,0,0,0,264,
"Ulong",3,10,15,7,17,9,3,0,9,4,3,0,0,0,0,80,
"Ultimo",93,91,130,161,175,150,185,153,267,148,268,119,57,51,42,2090,
"Umina Beach",96,214,609,838,734,538,504,406,653,402,342,187,77,43,16,5659,
"Unanderra",46,130,260,317,206,187,156,137,230,137,77,36,12,7,6,1944,
"Ungarie",4,8,18,24,23,14,8,8,4,8,4,0,0,0,0,123,
"Upper Burringbar",0,11,15,16,16,12,8,4,8,0,4,0,0,0,0,94,
"Upper Corindi",0,3,8,12,9,10,3,8,9,0,3,0,0,0,0,65,
"Upper Crystal Creek",5,6,9,10,6,9,6,3,5,3,0,0,0,0,0,62,
"Upper Horton",4,0,6,6,15,15,4,4,8,0,0,0,0,0,0,62,
"Upper Lansdowne",6,0,23,26,27,18,22,11,11,15,8,3,0,3,0,173,
"Upper Main Arm",3,3,16,15,10,7,9,0,0,7,0,0,0,0,0,70,
"Upper Manilla",9,7,9,15,7,17,17,10,13,4,3,3,0,0,0,114,
"Upper Orara",3,9,27,23,23,31,21,20,27,22,8,9,0,0,0,223,
"Upper Rollands Plains",3,5,9,16,13,20,20,5,18,8,4,0,0,0,0,121,
"Uralba",0,3,3,16,12,5,3,4,3,5,9,0,3,0,0,66,
"Uralla (NSW)",15,40,102,147,120,106,101,83,109,50,27,18,5,5,3,931,
"Urana",10,4,19,28,13,9,5,13,5,3,4,0,0,0,0,113,
"Uranquinty",0,16,13,34,33,21,32,41,48,20,11,15,0,0,4,288,
"Urbenville",6,6,29,28,15,16,3,10,12,9,5,3,0,0,0,142,
"Urunga",31,53,151,261,185,165,107,79,88,53,35,25,3,4,0,1240,
"Vacy",0,4,4,18,21,12,16,14,15,15,18,10,9,3,0,159,
"Vale Of Clwydd",9,10,36,51,30,11,20,18,22,8,14,4,0,0,0,233,
"Valentine (NSW)",22,24,80,144,143,151,125,115,213,175,233,175,60,49,43,1752,
"Valla",3,13,18,32,45,32,30,24,30,16,8,8,0,3,0,262,
"Valla Beach",6,10,42,97,57,76,47,26,42,17,17,7,5,7,3,459,
"Valley Heights",4,11,18,32,27,36,33,40,70,70,46,35,10,9,7,448,
"Varroville",0,0,0,0,0,0,3,4,4,5,3,4,5,0,0,28,
"Vaucluse",37,24,70,118,128,141,131,159,279,207,422,258,154,130,321,2579,
"Verges Creek",5,0,5,17,10,12,7,9,17,9,5,5,3,0,5,109,
"Verona",3,3,6,13,18,30,13,16,7,12,6,3,0,0,0,130,
"Villawood",76,190,214,270,185,127,117,85,92,61,39,24,8,8,3,1499,
"Vincentia",21,31,79,153,132,106,69,81,125,75,55,32,21,11,12,1003,
"Vineyard",12,10,62,50,41,28,36,28,30,32,22,14,9,7,12,393,
"Violet Hill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Voyager Point",0,0,0,14,12,6,12,12,59,41,50,54,24,27,16,327,
"Wadalba",7,23,44,61,52,44,44,49,92,77,34,23,5,4,3,562,
"Wagga Wagga",53,141,290,332,331,298,295,274,312,195,189,88,26,29,34,2887,
"Wagstaffe",3,3,3,5,9,8,6,6,9,0,9,3,0,0,3,67,
"Wahroonga",58,52,115,256,261,249,275,275,459,391,795,497,312,292,394,4681,
"Waitara",46,62,120,172,168,147,169,173,307,172,264,113,45,39,39,2036,
"Wakefield",0,0,3,3,6,6,5,4,7,6,4,3,0,0,0,47,
"Wakeley",18,32,42,133,117,106,143,103,165,117,93,49,34,22,21,1195,
"Wakool",7,6,12,19,25,14,12,14,17,8,3,0,0,0,3,140,
"Walbundrie",5,0,16,12,10,10,5,0,6,0,5,0,0,0,0,69,
"Walcha",22,34,108,138,119,85,100,64,99,59,32,17,6,0,19,902,
"Walgett",23,26,44,45,71,52,58,62,85,57,44,28,10,0,5,610,
"Walla Walla",8,6,30,44,25,39,28,36,38,22,15,10,5,4,3,313,
"Wallabadah",7,5,15,12,10,7,17,3,3,5,3,0,0,0,0,87,
"Wallabi Point",0,0,13,17,10,13,16,17,37,26,14,12,7,0,0,182,
"Wallacia",11,10,37,57,34,30,53,45,55,52,42,38,14,5,16,499,
"Wallaga Lake",4,14,28,59,38,26,17,19,10,10,8,6,0,0,0,239,
"Wallagoot",3,3,9,13,22,17,27,17,22,17,10,6,0,0,0,166,
"Wallalong",0,0,0,7,13,21,26,8,41,38,34,22,14,16,6,246,
"Wallamore",0,0,0,7,7,4,10,5,6,6,4,4,0,0,4,57,
"Wallarah",3,4,4,8,10,15,8,11,22,8,9,0,3,0,0,105,
"Wallarobba",0,0,5,12,20,4,13,3,11,11,9,4,4,0,0,96,
"Wallaroo (NSW)",3,3,6,16,5,10,13,10,25,22,15,12,16,14,19,189,
"Wallendbeen",4,0,7,15,9,8,9,4,9,14,8,7,0,0,4,98,
"Wallerawang",10,32,51,76,46,45,36,43,78,43,56,30,13,10,7,576,
"Wallsend",64,185,528,556,464,366,406,315,546,314,268,154,56,51,24,4297,
"Wamberal",22,28,78,150,156,170,155,164,259,232,189,155,54,57,32,1901,
"Wamboin",4,0,13,16,4,18,25,29,51,42,67,62,38,39,49,457,
"Wanaaring",0,5,4,4,4,9,5,9,10,3,3,0,0,3,3,62,
"Wandandian",0,4,14,13,10,11,12,6,26,10,8,5,0,0,0,119,
"Wandella (NSW)",5,5,13,17,21,10,8,10,6,0,4,3,0,0,0,102,
"Wangi Wangi",18,31,95,154,124,93,83,73,97,52,79,38,20,16,13,986,
"Wantabadgery",7,5,4,8,9,6,16,16,14,5,3,3,0,4,0,100,
"Warabrook",6,25,65,63,48,69,56,51,102,66,46,34,14,20,3,668,
"Waratah (NSW)",32,110,211,181,168,140,160,122,189,132,99,49,20,16,6,1635,
"Waratah West",18,25,82,133,115,91,89,74,110,79,49,26,10,10,3,914,
"Wardell",5,12,28,50,49,43,39,29,42,24,8,6,0,0,0,335,
"Wards River",3,4,7,17,13,11,4,9,0,0,8,0,0,0,0,76,
"Wareemba",10,13,31,46,38,32,30,37,55,39,66,44,28,24,19,512,
"Warialda",17,27,98,92,74,67,53,52,51,44,15,11,4,4,5,614,
"Warialda Rail",0,3,7,13,13,9,0,8,7,0,0,0,0,0,0,60,
"Warilla",52,125,317,417,288,234,191,130,220,117,71,40,16,16,8,2242,
"Warners Bay",34,72,260,344,317,243,231,193,337,191,211,129,57,33,29,2681,
"Warnervale",0,3,7,10,21,16,13,7,27,19,8,7,7,0,0,145,
"Warraderry",0,0,8,6,9,13,3,5,10,6,5,3,0,0,0,68,
"Warragamba",3,19,31,54,47,35,48,33,59,36,22,7,6,3,3,406,
"Warral",3,7,4,9,5,17,10,9,18,18,11,9,0,3,0,123,
"Warrawee",8,12,10,29,26,39,38,42,81,55,143,94,56,64,93,790,
"Warrawong",66,158,266,301,207,157,133,100,143,66,45,11,12,9,3,1677,
"Warregah Island",0,0,9,9,9,13,0,10,12,0,0,0,0,0,0,62,
"Warrell Creek",0,6,10,14,12,7,11,6,16,6,0,0,0,0,0,88,
"Warren",15,26,75,65,72,60,59,42,69,41,23,13,6,0,7,573,
"Warri",0,3,3,7,5,17,6,10,10,5,11,10,3,0,0,90,
"Warriewood",20,28,51,91,124,127,124,129,206,192,267,171,85,79,73,1767,
"Warrimoo",6,10,30,53,58,38,58,55,102,106,79,78,19,23,12,727,
"Warwick Farm",52,143,186,229,196,160,146,128,131,51,33,10,5,0,6,1476,
"Watanobbi",27,56,98,142,140,120,115,114,147,108,46,23,8,4,3,1151,
"Waterfall",0,0,4,13,12,13,14,13,28,18,14,7,4,3,5,148,
"Waterloo (NSW)",164,479,536,389,291,231,246,222,367,285,422,229,107,111,92,4171,
"Waterview Heights",9,8,31,60,50,54,36,38,55,45,29,13,3,0,3,434,
"Watsons Bay",0,5,10,11,13,19,7,14,34,11,36,15,20,14,25,234,
"Watsons Creek (NSW)",6,5,15,16,15,14,10,3,11,0,3,3,0,0,0,101,
"Wattamondara",5,3,6,17,8,7,9,13,10,5,3,3,0,0,3,92,
"Wattle Flat (NSW)",8,13,25,32,20,5,9,11,10,3,3,5,0,3,0,147,
"Wattle Grove (NSW)",18,13,60,92,83,116,174,206,423,373,334,204,77,60,39,2272,
"Wattle Ponds",7,3,3,11,14,4,19,16,45,28,80,46,27,20,24,347,
"Wauchope",48,103,287,383,303,219,224,144,187,86,37,25,8,6,7,2067,
"Waukivory",3,4,11,24,8,16,11,3,13,8,9,4,4,0,0,118,
"Waverley (NSW)",22,38,98,100,97,92,82,88,155,105,206,109,70,52,75,1389,
"Waverton",12,15,45,59,47,65,71,69,139,81,219,131,70,62,69,1154,
"Way Way",5,3,3,18,5,6,14,7,10,0,3,0,0,0,0,74,
"Wedderburn (NSW)",0,3,4,12,10,11,8,10,26,27,15,9,9,3,8,155,
"Wee Jasper",3,3,3,4,13,11,6,10,12,9,8,11,6,0,3,102,
"Wee Waa",15,32,87,91,72,67,68,66,81,41,36,11,5,0,3,675,
"Weethalle",10,8,11,9,11,12,12,3,7,0,3,4,0,0,0,90,
"Weilmoringle",3,3,6,3,6,0,3,6,5,5,0,3,0,0,0,43,
"Welby",8,17,34,35,20,32,26,11,30,17,9,4,3,3,0,249,
"Wellington (NSW)",27,85,268,251,182,140,128,81,97,72,29,22,4,9,0,1395,
"Wellington Vale",5,0,5,0,5,6,5,0,7,0,5,5,0,0,0,43,
"Wells Crossing",0,6,14,15,14,12,15,4,6,4,0,0,0,0,0,90,
"Wentworth (NSW)",11,29,73,85,69,45,35,35,30,24,12,4,0,0,0,452,
"Wentworth Falls",28,61,180,287,240,226,184,153,243,154,154,108,38,14,16,2086,
"Wentworth Point",9,10,15,35,50,47,85,89,183,140,225,106,54,35,31,1114,
"Wentworthville",68,109,244,273,278,282,304,262,471,331,267,167,87,76,54,3273,
"Werai",0,0,7,13,3,17,10,6,15,0,10,9,0,3,10,103,
"Werombi",3,0,4,14,12,16,19,14,30,27,24,19,8,7,4,201,
"Werri Beach",3,3,7,20,17,19,16,18,23,16,8,7,0,3,3,163,
"Werrington",26,45,90,160,163,114,162,119,189,129,57,34,11,9,3,1311,
"Werrington County",8,25,29,64,74,80,101,112,198,155,103,58,30,28,12,1077,
"Werrington Downs",11,15,27,49,58,59,85,77,176,150,100,63,31,21,9,931,
"Werris Creek",8,29,105,130,88,52,53,44,63,30,22,8,6,3,0,641,
"West Albury",26,47,119,166,155,140,102,90,162,102,91,55,29,34,12,1330,
"West Ballina",32,42,125,193,159,143,97,92,94,50,37,11,3,4,11,1093,
"West Bathurst",25,37,135,170,138,135,127,129,161,105,68,31,11,16,6,1294,
"West Gosford",8,26,77,97,77,72,59,46,58,20,16,11,7,0,0,574,
"West Haven",10,8,72,104,64,67,30,27,23,13,11,5,0,0,0,434,
"West Hoxton",17,17,37,93,103,130,191,190,355,346,265,161,87,75,41,2108,
"West Kempsey",28,110,299,339,229,195,155,76,124,39,31,7,0,3,3,1638,
"West Nowra",0,5,24,47,42,35,39,31,54,31,15,4,6,0,0,333,
"West Pennant Hills",55,60,129,192,225,220,235,256,460,389,695,514,315,342,348,4435,
"West Pymble",15,20,48,77,71,63,87,64,156,128,274,188,98,94,95,1478,
"West Ryde",53,126,248,334,319,336,388,333,551,392,417,254,122,102,92,4067,
"West Tamworth",48,127,240,338,293,215,200,135,136,82,42,20,5,9,4,1894,
"West Wallsend",5,18,51,75,73,47,56,43,81,55,24,19,9,8,3,567,
"West Wollongong",39,79,124,190,156,132,142,102,178,154,114,88,21,14,8,1541,
"West Wyalong",22,52,103,165,124,126,103,96,135,71,76,28,12,14,4,1131,
"Westdale (Tamworth - NSW)",7,11,27,64,71,71,83,81,137,65,24,15,3,0,3,662,
"Westleigh",3,12,31,60,55,80,76,81,161,123,237,156,88,72,56,1291,
"Westmead",71,141,232,273,286,335,450,468,772,470,518,219,102,94,58,4489,
"Weston (NSW)",16,49,127,154,124,114,110,96,160,82,65,33,10,9,0,1149,
"Wetherill Park",19,31,76,169,137,148,170,132,222,176,113,88,43,32,24,1580,
"Whalan",50,104,203,219,233,165,177,121,180,94,48,17,10,7,7,1635,
"Wherrol Flat",3,9,13,14,16,16,12,12,6,3,3,0,3,0,0,110,
"Whian Whian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"White Cliffs",0,12,9,10,9,6,6,3,3,0,9,0,0,0,0,67,
"White Rock (NSW)",4,0,3,16,7,12,13,14,32,23,19,18,7,9,9,186,
"Whitebridge",12,20,48,88,66,68,69,53,101,81,81,70,21,16,14,808,
"Whittingham",3,4,3,13,4,12,9,6,15,7,12,8,5,4,4,109,
"Whitton",3,9,18,10,12,13,18,10,15,3,0,0,0,0,0,111,
"Whoota",0,3,3,12,15,10,7,6,7,7,3,0,0,0,0,73,
"Wiangaree",3,0,7,24,11,8,12,3,4,3,0,0,0,0,0,75,
"Wickham (NSW)",5,20,31,39,52,31,42,31,55,27,27,15,4,8,3,390,
"Wilberforce (NSW)",12,27,36,57,77,74,61,53,140,97,80,64,24,13,8,823,
"Wilcannia",3,14,17,42,42,37,41,12,27,13,9,6,0,0,3,266,
"Wildes Meadow",3,3,5,22,16,16,10,13,18,17,20,15,3,3,7,171,
"Wiley Park",74,107,195,371,423,310,293,219,296,162,92,51,13,18,13,2637,
"Willawarrin",4,3,15,12,17,12,9,5,9,0,0,0,0,0,0,86,
"Williamtown",0,22,55,50,31,25,23,23,22,11,14,8,4,0,0,288,
"Willmot",19,57,69,98,104,66,68,55,77,27,16,10,4,0,0,670,
"Willoughby (NSW)",30,41,87,113,91,100,121,116,206,137,308,153,118,109,150,1880,
"Willoughby East",9,3,10,32,27,16,15,30,26,35,90,46,33,59,57,488,
"Willow Tree",7,16,17,21,10,17,11,11,12,7,8,3,0,0,0,140,
"Willow Vale (Wingecarribee - NSW)",0,5,3,10,20,20,20,20,40,21,12,8,9,3,5,196,
"Wilsons Creek",0,3,10,17,15,14,9,3,11,3,0,0,0,0,0,85,
"Wilton (NSW)",4,8,13,33,38,33,41,34,86,81,57,44,21,17,14,524,
"Windale",34,106,216,201,146,92,85,56,61,28,14,3,3,0,0,1045,
"Windang",28,42,146,258,129,108,78,56,68,65,46,27,4,8,3,1066,
"Windella",0,0,3,8,7,4,12,10,21,14,33,19,12,11,5,159,
"Windellama",7,5,17,18,10,11,6,9,7,3,11,3,0,0,0,107,
"Windermere Park",0,8,15,37,31,24,26,30,28,22,12,5,0,0,0,238,
"Windeyer (NSW)",3,10,19,30,31,16,9,16,14,8,3,3,4,0,0,166,
"Windradyne",17,22,66,111,95,89,77,92,145,91,71,32,13,6,9,936,
"Windsor (NSW)",15,25,55,75,65,67,55,48,58,43,34,26,11,14,11,602,
"Windsor Downs",4,0,5,6,7,12,24,28,36,38,42,26,15,23,17,283,
"Wingello",6,3,9,20,23,11,18,9,12,7,3,3,0,0,0,124,
"Wingen",0,0,6,3,7,6,12,8,14,14,4,4,0,0,0,78,
"Wingham",44,84,238,316,276,185,189,151,204,94,36,18,7,0,3,1845,
"Winifred",5,0,3,7,12,8,5,7,13,6,3,0,0,0,0,69,
"Winmalee",25,24,74,146,131,150,166,154,314,242,250,159,54,68,38,1995,
"Winston Hills",44,45,152,280,244,229,270,248,456,405,366,316,154,110,76,3395,
"Winton (NSW)",0,0,0,6,6,12,5,5,10,4,7,4,0,4,0,63,
"Wirlinga",4,0,4,17,13,12,10,6,8,11,14,7,3,0,5,114,
"Wisemans Ferry",0,0,5,10,8,8,7,7,13,6,3,0,0,0,0,67,
"Wittitrin",3,6,21,29,19,11,12,3,3,3,3,0,0,0,0,113,
"Wollar",3,4,15,16,12,6,8,3,7,3,9,0,0,0,0,86,
"Wolli Creek",19,9,29,37,50,67,107,88,156,140,141,85,43,37,12,1020,
"Wollombi",4,4,14,24,13,10,9,10,12,4,10,5,0,0,0,119,
"Wollongbar",4,19,52,94,105,76,86,80,109,67,50,20,12,8,8,790,
"Wollongong",212,371,615,709,693,609,608,500,766,418,483,224,119,88,84,6499,
"Wollstonecraft",31,67,100,174,136,170,227,234,440,261,654,347,193,190,216,3440,
"Wolumla",8,8,19,33,35,27,33,17,47,21,12,5,0,0,0,265,
"Wombarra",11,7,10,16,19,20,18,15,40,23,42,26,7,12,9,275,
"Wombat",3,3,10,13,8,9,7,0,18,3,0,8,0,0,0,82,
"Wombeyan Caves",0,3,10,16,6,9,5,5,18,3,7,3,0,0,0,85,
"Wondalga",3,0,8,12,10,10,3,12,15,7,3,4,0,3,0,90,
"Wongarbon",3,6,16,18,19,18,12,21,33,17,13,7,6,0,0,189,
"Wongawilli",0,0,5,3,6,5,3,3,8,6,4,3,3,4,0,53,
"Woodberry",12,39,92,119,120,112,100,86,118,59,41,18,10,4,3,933,
"Woodbine (NSW)",5,17,24,64,64,72,90,61,100,96,70,44,25,16,15,763,
"Woodburn (Richmond Valley - NSW)",6,16,27,42,44,44,35,20,24,11,9,4,0,0,0,282,
"Woodcroft (NSW)",6,22,50,69,79,81,101,102,258,286,229,148,89,78,44,1642,
"Woodenbong",3,10,13,33,27,19,15,7,17,10,10,0,3,0,0,167,
"Woodford (NSW)",6,16,41,52,42,48,54,48,100,70,53,36,12,9,10,597,
"Woodford Island",12,5,4,7,17,10,20,15,13,5,3,3,0,0,0,114,
"Woodlands (Wingecarribee - NSW)",0,0,3,9,4,3,4,8,3,3,7,7,0,0,0,51,
"Woodpark",3,11,19,36,36,35,38,36,74,27,28,10,10,9,6,378,
"Woodrising",0,3,15,29,37,43,57,36,56,39,18,16,0,5,0,354,
"Woodsreef",4,5,3,7,9,5,3,4,5,4,0,0,0,0,0,49,
"Woodstock (Cowra - NSW)",10,14,40,63,35,33,23,21,22,11,5,8,0,3,4,292,
"Woodstock (Shoalhaven - NSW)",0,0,8,5,6,16,13,10,9,4,6,4,0,0,0,81,
"Woodview",3,0,4,13,14,6,14,5,11,3,0,0,0,0,0,73,
"Woodville (NSW)",0,0,3,16,9,10,19,10,20,24,24,12,8,8,3,166,
"Woolbrook",0,7,5,4,16,4,10,5,6,0,4,0,0,0,0,61,
"Woolgoolga",30,79,182,343,258,233,173,136,163,99,47,34,4,14,14,1809,
"Wooli",9,16,57,44,37,27,23,17,13,3,3,0,0,0,3,252,
"Woollahra",34,57,117,181,118,144,198,167,264,174,539,225,112,118,284,2732,
"Woollamia",3,3,13,29,28,28,21,22,25,18,4,6,0,0,0,200,
"Woolloomooloo",39,111,165,118,109,110,109,112,156,64,276,105,48,51,76,1649,
"Woolomin",4,4,12,16,19,11,9,11,4,9,0,0,0,0,0,99,
"Woolooware",19,20,80,99,112,105,102,91,157,148,154,128,54,36,40,1345,
"Wooloweyah",3,3,11,7,22,7,18,14,10,12,7,5,3,0,0,122,
"Woolwich",0,4,0,4,18,24,15,19,21,16,47,16,11,15,35,245,
"Woomargama",4,4,7,17,12,11,6,8,5,12,7,0,0,0,0,93,
"Woombah",9,18,34,54,57,28,27,13,23,4,4,3,0,0,0,274,
"Woongarrah",11,13,39,91,84,103,91,86,182,151,122,94,19,22,10,1118,
"Woonona",68,191,321,437,368,310,269,275,468,377,374,239,100,81,33,3911,
"Wootton",0,3,3,19,15,13,3,9,3,4,3,0,0,0,0,75,
"Wooyung",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,
"Woronora",6,17,17,59,30,37,35,42,83,74,79,55,42,39,24,639,
"Woronora Heights",3,4,4,14,19,31,28,37,82,117,145,104,60,48,37,733,
"Worrigee",15,17,60,148,143,130,133,163,193,158,85,50,6,8,0,1309,
"Worrowing Heights",3,3,7,32,23,15,10,6,6,0,0,0,0,0,0,105,
"Woy Woy",87,224,539,599,469,399,344,275,390,214,165,81,33,23,13,3855,
"Woy Woy Bay",3,3,7,14,8,10,11,7,15,10,13,14,7,3,3,128,
"Wyalong",6,3,18,35,35,34,30,33,37,18,8,4,0,0,3,264,
"Wyangala",6,6,7,23,14,9,9,5,11,3,14,6,3,5,7,128,
"Wybung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Wyee",11,18,67,141,86,81,64,71,100,72,47,26,6,4,3,797,
"Wyee Point",6,3,4,19,18,25,26,17,34,19,15,7,3,5,0,201,
"Wyndham (NSW)",3,14,25,45,30,26,17,16,11,7,3,0,0,0,0,197,
"Wyoming",56,113,366,450,370,321,276,250,443,290,200,96,36,26,10,3303,
"Wyong",38,96,195,260,193,132,128,85,110,64,50,27,6,3,12,1399,
"Wyong Creek",3,0,8,11,10,10,9,9,13,4,12,9,8,9,0,115,
"Wyongah",4,11,42,75,63,66,70,50,98,67,32,20,3,9,3,613,
"Wyrallah",0,3,8,7,14,17,18,16,19,17,3,4,0,0,0,126,
"Yagoona",105,169,389,548,517,404,388,338,538,317,247,139,58,68,43,4268,
