"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"Taylorville",3,4,6,14,8,22,10,10,13,8,3,5,0,0,0,106,
"Tea Tree Gully",13,16,61,122,123,120,97,85,148,129,89,46,22,15,16,1102,
"Tennyson (SA)",6,7,26,38,34,31,45,43,46,32,44,27,17,18,24,438,
"Teringie",6,6,4,16,13,24,25,23,33,21,31,19,7,13,9,250,
"Terowie",3,8,18,18,13,4,8,0,4,3,0,0,0,0,0,79,
"Thebarton",8,34,60,72,61,39,46,26,67,47,38,14,3,8,4,527,
"Thevenard",4,9,8,17,17,21,11,21,27,20,19,5,0,0,0,179,
"Thompson Beach",3,4,15,17,16,21,11,14,11,6,3,0,0,0,0,121,
"Tickera",3,5,10,21,15,19,9,13,6,6,3,5,0,0,0,115,
"Tiddy Widdy Beach",0,0,10,16,10,13,4,9,5,5,0,5,0,0,0,77,
"Tintinara",3,0,12,15,11,13,16,12,12,10,3,3,0,0,0,110,
"Tooperang",0,3,4,8,18,16,14,13,17,9,3,3,0,3,0,111,
"Toorak Gardens",10,14,37,68,68,63,72,49,90,55,90,69,43,42,72,842,
"Torrens Park",5,19,39,71,71,85,72,55,98,83,92,64,29,32,40,855,
"Torrensville",31,70,139,171,136,123,150,131,185,117,71,70,20,18,8,1440,
"Tranmere (SA)",22,41,90,133,107,113,100,113,163,96,108,92,33,24,15,1250,
"Trinity Gardens",3,16,30,43,46,28,27,34,60,39,34,17,15,10,8,410,
"Trott Park",13,18,37,73,81,106,103,109,179,130,51,24,12,7,5,948,
"Truro",0,4,15,32,28,21,26,20,27,21,12,3,0,3,0,212,
"Tulka",3,3,13,9,3,7,11,8,3,3,0,3,0,0,0,66,
"Tumby Bay",21,29,102,131,80,68,55,57,74,43,24,15,5,0,0,704,
"Tungkillo",7,6,21,18,24,20,18,24,22,7,9,3,0,0,5,184,
"Tusmore",8,9,17,38,25,24,32,37,39,39,57,54,14,27,26,446,
"Two Wells",13,27,47,76,79,72,81,69,111,70,30,26,16,7,4,728,
"Uleybury",0,0,4,0,9,4,5,0,12,4,12,6,0,0,0,56,
"Underdale",19,44,73,99,83,78,70,68,102,85,41,37,17,10,10,836,
"Ungarra",3,4,4,15,12,11,9,6,11,5,5,3,3,0,6,97,
"Unley",32,47,108,137,119,113,121,110,176,95,179,122,49,40,42,1490,
"Unley Park",3,8,23,25,22,33,22,34,35,34,77,48,22,26,45,457,
"Upper Hermitage",0,0,6,10,6,9,12,3,10,3,16,8,4,3,0,90,
"Upper Sturt",3,4,13,19,17,21,27,29,40,38,55,24,11,6,7,314,
"Uraidla",5,5,11,15,18,16,9,13,34,18,22,9,6,0,0,181,
"Urrbrae",9,6,15,25,23,27,19,30,29,29,44,30,10,22,14,332,
"Vale Park",13,18,62,69,81,77,59,64,92,75,71,58,25,17,21,802,
"Valley View",26,55,129,264,240,262,219,201,292,212,103,37,18,18,3,2079,
"Venus Bay (SA)",5,6,14,32,16,24,14,11,14,5,5,0,0,0,0,146,
